-41,0,1,1,1,12,0,-9,-11,0,1,-12,1,20,2,-175,0,-55,-4,0,0,0,-1,0,-2,8,7,5,-14,11,0,-17,-102,-5,38,31,-38,-32,6,-23,5,36,-10,0,1,-5,-1,3,1,-18,0
92,0,0,0,-2,-26,0,0,12,1,3,4,0,-20,-4,123,0,600,5,5,0,1,-3,0,1,-12,-5,-6,-149,-10,0,-12,51,2,-44,-25,30,33,-11,-23,-7,53,10,1,3,3,-2,1,-1,3,-4
-87,0,1,0,1,40,0,3,-20,-2,-6,-4,-4,15,2,-56,0,-83,-4,10,0,-1,2,0,-2,0,5,7,159,-13,0,106,60,1,57,-39,-1,-27,12,61,-15,109,-9,-2,0,-10,-4,-5,0,10,3
54,0,0,0,0,-13,0,3,22,2,9,12,3,9,1,55,0,-381,1,-26,0,-1,0,0,-1,8,-7,-5,-83,16,0,-100,-120,3,-56,97,-13,13,1,-61,29,-307,2,3,9,23,4,6,1,0,8
-47,0,-3,0,0,6,0,-3,-5,-2,-2,-11,1,-10,-1,-30,0,54,-1,15,0,1,-1,0,2,-6,5,2,109,13,1,-64,60,-2,65,-15,25,-1,-14,111,-25,184,6,-3,-12,-25,4,-5,-8,-18,-15
76,1,3,0,0,-48,0,-3,-6,1,-10,3,-2,1,0,-14,0,74,1,-9,0,0,3,0,5,6,1,-6,31,-26,-2,202,90,-3,-31,-56,-35,5,18,-93,10,-27,-4,0,2,18,-5,5,33,18,9
-8,-2,-1,0,0,92,1,4,-1,0,17,4,2,-6,-1,-20,0,-34,1,16,0,0,0,0,-10,-5,-5,9,-22,4,1,-244,-104,0,-34,15,52,-22,-14,-18,15,-60,-2,5,3,-17,3,-7,-49,-11,0
-122,1,0,1,1,-113,-1,1,-4,0,-12,-10,-2,7,1,76,0,-476,-4,-6,0,0,-6,0,6,0,5,-7,-136,-2,1,267,-62,2,20,28,-46,13,1,51,-31,192,2,-7,3,15,-2,6,15,7,-3
207,-3,-1,-2,-2,136,-1,-5,3,0,-5,5,2,-23,0,-127,0,1793,3,-10,0,0,15,0,-2,2,-4,2,130,13,-1,-129,128,0,-29,-78,22,3,6,-54,18,-199,7,7,-17,-14,0,-4,42,2,-3
-224,9,1,2,1,-127,1,3,5,0,5,7,-2,6,0,101,0,-2239,0,5,0,0,-20,0,1,-6,4,2,-209,-9,-1,-30,-84,0,12,69,-31,8,-4,42,-13,11,-17,-6,12,10,-1,2,-51,-17,4
125,-9,1,-2,0,42,0,0,9,0,7,-11,1,15,0,27,0,1065,0,0,0,0,7,0,0,5,-4,-2,64,0,1,-63,75,0,174,-59,48,-13,2,-21,22,137,18,0,15,-6,5,0,19,25,13
-30,3,-1,1,1,1,0,6,-5,0,-6,7,0,2,0,-41,0,-73,0,5,0,0,7,0,0,2,5,3,59,14,0,170,-51,10,-296,11,-9,-1,4,32,-4,-61,-15,3,-19,13,-5,3,-25,-9,-20
-34,0,-1,0,-2,7,0,-11,-18,0,-1,-5,0,7,3,-45,0,-291,0,-7,0,0,-4,0,1,1,-6,-4,-4,-22,0,-155,-47,-20,217,54,-21,13,-5,-30,-24,-112,7,-2,6,-2,-3,-5,33,-12,12
132,4,1,3,1,3,0,5,19,1,0,5,1,-11,-6,38,0,319,2,8,0,0,5,0,-2,-6,10,2,-35,17,0,31,128,11,-83,-4,31,-6,0,1,21,157,3,0,-12,-17,7,18,13,22,-12
