-88,-29,112,-106,-288,-92,-505,8,96,-571,-1342,-36,-75,-86,-190,-24,106,-152,-246,4,934,139,-565,-27,-166,58,-14,66,-84,129,-1558,-127,3721,-161,8,118,-163,-79,-136,114,-187,57,-273,-78,71,-77,-363,13,-63,3,6
274,9,105,136,-538,340,2750,-138,-261,315,419,61,11,-387,116,27,-135,344,1175,11,-1334,361,49,-3,258,136,16,-67,-25,-23,951,98,-3594,174,2,-39,201,106,-161,-474,561,-60,98,609,-150,98,234,100,19,41,5
-347,3,-339,-202,840,-459,-3067,110,200,259,400,-72,118,271,173,-33,-5,-493,-789,-8,629,-641,309,8,-217,70,-20,42,65,-50,-225,155,319,-45,-13,4,-160,-230,191,443,-478,54,-9,-1113,323,-96,-17,-124,6,-38,-4
157,-1,385,121,-1130,98,1348,26,-73,-462,-361,58,-180,-266,-176,11,226,182,78,3,-184,-248,-96,-18,12,-213,12,-21,-184,139,-543,-378,-1742,168,15,4,18,187,-165,95,-28,-34,-32,555,-358,128,31,-5,-65,-43,13
50,4,-319,-28,1178,134,-627,-31,-2,642,119,-9,49,530,-7,-49,-246,586,26,-16,-138,991,-489,114,2,-17,-3,8,324,-153,681,350,1220,-333,-6,-26,62,58,-366,-619,95,13,170,-285,120,-140,-472,-49,70,20,-26
-251,-14,146,86,-380,-116,1319,-36,4,-715,441,-43,39,-814,-27,91,66,-1031,18,59,375,-1826,909,-298,56,143,-1,-51,-207,68,-605,-281,-620,273,8,41,-31,-203,584,381,-3,20,-439,208,-18,60,647,-68,-11,-24,9
223,13,-73,-113,250,-87,-1666,50,40,-239,943,32,11,472,-201,20,28,552,245,-69,-355,1069,-83,237,-38,-39,1,111,-3,-132,1480,203,1846,-189,-21,-84,19,88,-316,0,129,-52,342,189,26,-47,-314,312,9,80,6
-145,-3,110,29,-471,178,986,-99,13,789,-3095,6,-48,95,528,-159,7,-76,-152,18,199,531,-575,59,144,-16,2,-150,-39,400,-1958,-10,3608,89,27,262,-52,-10,296,795,-150,78,-170,37,80,105,-79,-215,22,1,-4
245,-1,67,-2,-148,24,174,49,-22,-323,2130,-17,134,-343,-116,143,36,131,217,-4,168,56,46,-250,-137,174,6,129,6,-499,2731,-195,-6360,72,-10,-88,51,62,102,-1458,231,-97,422,-102,-68,-74,188,37,-69,-51,6
-192,3,-117,34,795,-111,-538,212,-41,637,245,10,-197,917,-119,-6,-44,-268,-143,15,-156,-31,656,410,-86,-218,-10,-46,274,364,-2658,252,-134,35,-32,-38,-109,-67,-92,1291,-279,-6,-512,-64,-72,11,142,190,57,34,-4
-41,-6,-62,-47,-615,18,-85,-215,91,-1271,-1517,30,116,-947,-155,-53,-28,271,-130,-18,-70,-1145,-889,-387,107,56,1,172,-256,-235,394,-25,2302,-230,163,349,94,34,9,-1430,88,74,628,-122,120,19,-253,-421,-58,-55,-5
